Weeks,01,02,03,04,05,06,07,08,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
St Michll Queenhith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,6,11,12,9,6,10,23,3,16,7,5,1,3,2,0,0,0,5
St Mildred Bred str,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,7,3,1,4,1,3,1,0,0,1,0,0,0,0,0
St Mildred Poultry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,3,4,1,7,2,4,2,8,4,1,0,3,0,1,0,0,0,0
St Nicholas Acon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,7,5,3,1,1,1,1,1,3,1,0,0,0,0
St Nicholas Coleab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,3,8,6,13,14,8,10,7,2,4,4,2,3,0,0,0,0
St Nicholas Olave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,7,3,9,4,8,7,4,2,3,3,2,1,0,0,0,1
St Olave Hart street,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,6,4,6,10,13,18,19,11,21,14,4,7,7,7,0,0,1,6,0
St Olave Jewry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,3,5,1,4,2,0,2,2,1,0,1,0,0,0,1
St Olave Silver Strt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,3,8,12,15,17,18,12,17,7,4,5,5,4,1,1,0,0,1,0,0,0
St Pancras Soper La,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,3,1,4,0,1,0,0,0,0,1,0,0,0
St Peter Cheap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,4,3,5,3,4,7,3,0,1,1,0,0,0,0,0
St Peter Cornhil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,4,6,1,2,3,6,10,6,5,9,0,5,3,3,0,2,0,0,1
